iter	Logloss
0	0.5483687428
1	0.4578668243
2	0.3974016231
3	0.3553222504
4	0.3250629418
5	0.2925228105
6	0.270796615
7	0.2551423207
8	0.2425573512
9	0.2343381288
10	0.2241196229
11	0.2174656748
12	0.2100965103
13	0.2047290203
14	0.2012350978
15	0.1981980368
16	0.1958524295
17	0.1899929048
18	0.1866006816
19	0.1842825209
20	0.1819991999
21	0.1800899913
22	0.1781761027
23	0.1772489683
24	0.1760745873
25	0.1752957657
26	0.1739314657
27	0.1729793518
28	0.1725621575
29	0.1718638151
30	0.1711221025
31	0.1706717895
32	0.1703893542
33	0.1696179576
34	0.1694017628
35	0.1691161286
36	0.1683500176
37	0.1679197877
38	0.1675634067
39	0.1670631621
40	0.166835816
41	0.1662274977
42	0.1656101752
43	0.1650255717
44	0.1644854401
45	0.1638271099
46	0.1634735072
47	0.1623752503
48	0.1613987647
49	0.1599995104
50	0.1597164701
51	0.1594558923
52	0.1592979789
53	0.1585979565
54	0.1583972684
55	0.15813804
56	0.1573913784
57	0.1571076005
58	0.1568217946
59	0.1566470117
60	0.1565399562
61	0.1564572089
62	0.1563059468
63	0.1561913512
64	0.156118394
65	0.1559544509
66	0.1555928668
67	0.1554895312
68	0.1553953448
69	0.1552555965
70	0.155175252
71	0.1548112875
72	0.1541131117
73	0.1539980409
74	0.1533539774
75	0.1529524438
76	0.1527224018
77	0.1527214014
78	0.1522088239
79	0.1521133872
80	0.1519835958
81	0.1519580715
82	0.1519129394
83	0.1517593334
84	0.151756794
85	0.1516160958
86	0.1515276956
87	0.1514726285
88	0.1513620108
89	0.1513607372
90	0.1512233519
91	0.1506131838
92	0.1505016889
93	0.1505010848
94	0.1505003354
95	0.1504996425
96	0.1504231418
97	0.1504229483
98	0.1502430407
99	0.1501681159
