iter	Passed	Remaining
0	61	6070
1	65	3218
2	71	2311
3	75	1811
4	80	1529
5	84	1326
6	89	1187
7	93	1080
8	98	992
9	101	917
10	106	859
11	110	807
12	114	766
13	118	727
14	122	693
15	126	666
16	130	638
17	135	616
18	139	593
19	143	572
20	147	553
21	150	534
22	154	518
23	158	502
24	162	487
25	166	473
26	170	459
27	173	446
28	177	434
29	181	422
30	184	411
31	188	401
32	192	391
33	196	381
34	200	372
35	204	364
36	208	355
37	212	346
38	216	338
39	220	330
40	223	322
41	227	314
42	231	306
43	235	299
44	238	292
45	242	284
46	246	277
47	249	270
48	253	264
49	257	257
50	261	251
51	264	244
52	268	238
53	272	231
54	275	225
55	279	219
56	283	213
57	286	207
58	290	201
59	294	196
60	298	191
61	302	185
62	306	179
63	309	174
64	313	168
65	316	163
66	320	157
67	324	152
68	327	147
69	331	142
70	335	137
71	339	132
72	343	127
73	347	122
74	351	117
75	354	112
76	358	107
77	362	102
78	365	97
79	369	92
80	373	87
81	377	82
82	380	78
83	384	73
84	388	68
85	392	63
86	396	59
87	399	54
88	403	49
89	407	45
90	411	40
91	414	36
92	418	31
93	423	27
94	426	22
95	430	17
96	433	13
97	437	8
98	441	4
99	444	0
